date,site,mean_copy,mean_copy_fill,missing_data,year,month,day,ihs_data,log_data,yday,site_year
2013-01-28,gonz,399.09499999999997,399.09499999999997,0,2013,1,28,6.6823482339384155,5.991702018909321,28,gonz_2013
2013-01-29,gonz,NA,206.2225,1,2013,1,29,6.0221087420187205,5.333793095223371,29,gonz_2013
2013-01-30,gonz,13.35,13.35,0,2013,1,30,3.286063364005501,2.66374994220563,30,gonz_2013
2013-01-31,gonz,NA,61.7725,1,2013,1,31,4.816670972076189,4.139517079479614,31,gonz_2013
2013-02-01,gonz,110.195,110.195,0,2013,2,1,5.395419291660984,4.711285416776793,32,gonz_2013
2013-02-02,gonz,NA,138.815,1,2013,2,2,5.626302265505843,4.94032012018123,33,gonz_2013
2013-02-03,gonz,NA,167.435,1,2013,2,3,5.81375131427994,5.126549918692612,34,gonz_2013
2013-02-04,gonz,196.055,196.055,0,2013,2,4,5.971548916662031,5.283482877589581,35,gonz_2013
2013-02-05,gonz,NA,451.69000000000005,1,2013,2,5,6.806144509732533,6.115207564513815,36,gonz_2013
2013-02-06,gonz,707.325,707.325,0,2013,2,6,7.254637929349164,6.56290302791532,37,gonz_2013
2013-02-07,gonz,NA,922.8275,1,2013,2,7,7.520589800583636,6.828525365901564,38,gonz_2013
2013-02-08,gonz,1138.33,1138.33,0,2013,2,8,7.730464928566421,7.03819564931561,39,gonz_2013
2013-02-09,gonz,NA,1372.8033333333333,1,2013,2,9,7.917757470073016,7.225338328136813,40,gonz_2013
2013-02-10,gonz,NA,1607.2766666666666,1,2013,2,10,8.075443791704592,7.382918491323652,41,gonz_2013
2013-02-11,gonz,1841.75,1841.75,0,2013,2,11,8.211618739824754,7.519014300069398,42,gonz_2013
2013-02-12,gonz,NA,1765.645,1,2013,2,12,8.169418602456618,7.476837546645955,43,gonz_2013
2013-02-13,gonz,1689.54,1689.54,0,2013,2,13,8.125358849657315,7.432803283506577,44,gonz_2013
2013-02-14,gonz,NA,1149.075,1,2013,2,14,7.739859919770204,7.047582436622038,45,gonz_2013
2013-02-15,gonz,608.61,608.61,0,2013,2,15,7.10432552397544,6.412819408437364,46,gonz_2013
2013-02-16,gonz,NA,531.79875,1,2013,2,16,6.9694131928432155,6.278143773127331,47,gonz_2013
2013-02-17,gonz,NA,454.9875,1,2013,2,17,6.8134183342538375,6.122465396857961,48,gonz_2013
2013-02-18,gonz,NA,378.17625,1,2013,2,18,6.62850928538678,5.93800113656287,49,gonz_2013
2013-02-19,gonz,301.365,301.365,0,2013,2,19,6.401472087918292,5.711634896866161,50,gonz_2013
2013-02-20,gonz,NA,201.75,1,2013,2,20,6.000182629697397,5.311973692995522,51,gonz_2013
2013-02-21,gonz,102.135,102.135,0,2013,2,21,5.3194666130403245,4.636038809650557,52,gonz_2013
2013-02-22,gonz,NA,92.06750000000001,1,2013,2,22,5.215698676500886,4.533325036334747,53,gonz_2013
2013-02-23,gonz,NA,82,1,2013,2,23,5.099903606000664,4.418840607796598,54,gonz_2013
2013-02-24,gonz,NA,71.9325,1,2013,2,24,4.968923672205178,4.289534355854659,55,gonz_2013
2013-02-25,gonz,61.865,61.865,0,2013,2,25,4.8181670863979,4.140989570045145,56,gonz_2013
2013-02-26,gonz,NA,58.7525,1,2013,2,26,4.766553302803874,4.090211030940494,57,gonz_2013
2013-02-27,gonz,55.64,55.64,0,2013,2,27,4.712130292155344,4.036715449385464,58,gonz_2013
2013-02-28,gonz,NA,27.82,1,2013,2,28,4.019225227938413,3.361069590571376,59,gonz_2013
2013-03-01,gonz,0,0,0,2013,3,1,0,0,60,gonz_2013
2013-03-02,gonz,NA,0,1,2013,3,2,0,0,61,gonz_2013
2013-03-03,gonz,NA,0,1,2013,3,3,0,0,62,gonz_2013
2013-03-04,gonz,0,0,0,2013,3,4,0,0,63,gonz_2013
2013-03-05,gonz,NA,1296.7024999999999,1,2013,3,5,7.860727111766209,7.16835067222665,64,gonz_2013
2013-03-06,gonz,2593.4049999999997,2593.4049999999997,0,2013,3,6,8.55387418081445,7.861112482219126,65,gonz_2013
2013-03-07,gonz,NA,1467.6374999999998,1,2013,3,7,7.984556540701415,7.2920903792141845,66,gonz_2013
2013-03-08,gonz,341.87,341.87,0,2013,3,8,6.527579867429519,5.837351366577616,67,gonz_2013
2013-03-09,gonz,NA,280.82666666666665,1,2013,3,9,6.3308879849787125,5.641292224748526,68,gonz_2013
2013-03-10,gonz,NA,219.78333333333336,1,2013,3,10,6.085794568583727,5.397181828462161,69,gonz_2013
2013-03-11,gonz,158.74,158.74,0,2013,3,11,5.760424745344755,5.073547493489243,70,gonz_2013
2013-03-12,gonz,NA,1656.785,1,2013,3,12,8.105781528079815,7.413237652980407,71,gonz_2013
2013-03-13,gonz,3154.83,3154.83,0,2013,3,13,8.749837096475876,8.057006814862234,72,gonz_2013
2013-03-14,gonz,NA,2187.39,1,2013,3,14,8.383611564063209,7.690921392630702,73,gonz_2013
2013-03-15,gonz,1219.95,1219.95,0,2013,3,15,7.799712501820166,7.1073845232312785,74,gonz_2013
2013-03-16,gonz,NA,830.705,1,2013,3,16,7.415422280688433,6.723477810639666,75,gonz_2013
2013-03-17,gonz,NA,441.46000000000004,1,2013,3,17,6.783235879065638,6.092350064881841,76,gonz_2013
2013-03-18,gonz,52.215,52.215,0,2013,3,18,4.648608673681874,3.9743403114930076,77,gonz_2013
2013-03-19,gonz,NA,1535.675,1,2013,3,19,8.029872589346533,7.337376270301372,78,gonz_2013
2013-03-20,gonz,3019.135,3019.135,0,2013,3,20,8.705872853487445,8.013056811356567,79,gonz_2013
