date,site,mean_copy,mean_copy_fill,missing_data,year,month,day,ihs_data,log_data,yday,site_year
2014-01-30,sol,138.075,138.075,0,2014,1,30,5.6209573093261005,4.935013355961357,30,sol_2014
2014-01-31,sol,NA,151.5575,1,2014,1,31,5.71412315519421,5.027541574162615,31,sol_2014
2014-02-01,sol,165.04,165.04,0,2014,2,1,5.799344227482421,5.112228723184838,32,sol_2014
2014-02-02,sol,NA,419.09000000000003,1,2014,2,2,6.731234297944403,6.040468974035796,33,sol_2014
2014-02-03,sol,NA,673.14,1,2014,2,3,7.205101064077736,6.513437804476037,34,sol_2014
2014-02-04,sol,927.19,927.19,0,2014,2,4,7.525305978173023,6.833236453208855,35,sol_2014
2014-02-05,sol,NA,541.0600000000001,1,2014,2,5,6.986678212968733,6.295376696419742,36,sol_2014
2014-02-06,sol,154.93,154.93,0,2014,2,6,5.73613099763788,5.049407188596794,37,sol_2014
2014-02-07,sol,NA,79.2275,1,2014,2,7,5.06551046691954,4.384866348866258,38,sol_2014
2014-02-08,sol,3.5250000000000004,3.5250000000000004,0,2014,2,8,1.9725659177263533,1.5096175771518896,39,sol_2014
2014-02-09,sol,NA,257.58166666666665,1,2014,2,9,6.244487770457106,5.5552115692641655,40,sol_2014
2014-02-10,sol,NA,511.63833333333326,1,2014,2,10,6.9307661308087605,6.239570593290252,41,sol_2014
2014-02-11,sol,765.6949999999999,765.6949999999999,0,2014,2,11,7.333931525095843,6.642089069087995,42,sol_2014
2014-02-12,sol,NA,7134.93,1,2014,2,12,9.56590490454178,8.872897864794693,43,sol_2014
2014-02-13,sol,NA,13504.165,1,2014,2,13,10.20390061729383,9.51082748384923,44,sol_2014
2014-02-14,sol,NA,19873.4,1,2014,2,14,10.59028461433026,9.8971877503876,45,sol_2014
2014-02-15,sol,26242.635000000002,26242.635000000002,0,2014,2,15,10.868287838146632,10.175178762427189,46,sol_2014
2014-02-16,sol,NA,20663.786666666667,1,2014,2,16,10.629285191955057,9.936186403479368,47,sol_2014
2014-02-17,sol,NA,15084.938333333335,1,2014,2,17,10.314599245297302,9.621518352730115,48,sol_2014
2014-02-18,sol,9506.09,9506.09,0,2014,2,18,9.852835108160225,9.159793115022962,49,sol_2014
2014-02-19,sol,NA,5510.5225,1,2014,2,19,9.307561914030192,8.614596179768258,50,sol_2014
2014-02-20,sol,1514.955,1514.955,0,2014,2,20,8.016288304020213,7.3238008823844485,51,sol_2014
2014-02-21,sol,NA,1144.3,1,2014,2,21,7.735695746807423,7.04342189040367,52,sol_2014
2014-02-22,sol,773.645,773.645,0,2014,2,22,7.344260710296063,6.652404859893619,53,sol_2014
2014-02-23,sol,NA,571.1933333333334,1,2014,2,23,7.040875686436882,6.349476929610237,54,sol_2014
2014-02-24,sol,NA,368.7416666666667,1,2014,2,24,6.603245327718731,5.912804563586198,55,sol_2014
2014-02-25,sol,166.29,166.29,0,2014,2,25,5.806889473355488,5.119728833343189,56,sol_2014
2014-02-26,sol,NA,89.79249999999999,1,2014,2,26,5.190679639016665,4.50857668307681,57,sol_2014
2014-02-27,sol,13.295,13.295,0,2014,2,27,3.281946584925808,2.659909825774275,58,sol_2014
2014-02-28,sol,NA,130.185,1,2014,2,28,5.562118446884135,4.8766085407056075,59,sol_2014
2014-03-01,sol,247.075,247.075,0,2014,3,1,6.202843210065722,5.513731119800305,60,sol_2014
2014-03-02,sol,NA,353.7183333333333,1,2014,3,2,6.561650106560785,5.87132404731539,61,sol_2014
2014-03-03,sol,NA,460.3616666666667,1,2014,3,3,6.825160772625522,6.134182261808579,62,sol_2014
2014-03-04,sol,567.005,567.005,0,2014,3,4,7.033516080207929,6.342130221499308,63,sol_2014
2014-03-05,sol,NA,1039.675,1,2014,3,5,7.639810855140566,6.947624820062586,64,sol_2014
2014-03-06,sol,1512.345,1512.345,0,2014,3,6,8.01456399517927,7.322077711588669,65,sol_2014
2014-03-07,sol,NA,1596.2150000000001,1,2014,3,7,8.068537759396248,7.376016766579978,66,sol_2014
2014-03-08,sol,1680.085,1680.085,0,2014,3,8,8.119746935483573,7.42719469727004,67,sol_2014
2014-03-09,sol,NA,1140.8383333333334,1,2014,3,9,7.732666023890188,7.040394815688042,68,sol_2014
2014-03-10,sol,NA,601.5916666666667,1,2014,3,10,7.092726791923206,6.401239797637199,69,sol_2014
2014-03-11,sol,62.345,62.345,0,2014,3,11,4.825894969428847,4.148595977054017,70,sol_2014
2014-03-12,sol,NA,31.1725,1,2014,3,12,4.132940651719197,3.471112050385683,71,sol_2014
2014-03-13,sol,0,0,0,2014,3,13,0,0,72,sol_2014
2014-03-14,sol,NA,15.6825,1,2014,3,14,3.446707579876683,2.8143602657956244,73,sol_2014
2014-03-15,sol,31.365,31.365,0,2014,3,15,4.139093831482905,3.4770775919974732,74,sol_2014
2014-03-16,sol,NA,865.6666666666667,1,2014,3,16,7.4566474371640785,6.7646544353414635,75,sol_2014
2014-03-17,sol,NA,1699.9683333333335,1,2014,3,17,8.13151216948818,7.438952975722475,76,sol_2014
2014-03-18,sol,2534.27,2534.27,0,2014,3,18,8.530808125598043,7.838055419229356,77,sol_2014
2014-03-19,sol,NA,2332.6525,1,2014,3,19,8.447908537582439,7.755189915729313,78,sol_2014
2014-03-20,sol,2131.035,2131.035,0,2014,3,20,8.35751029178786,7.664832201661304,79,sol_2014
2014-03-21,sol,NA,1089.3174999999999,1,2014,3,21,7.686454023566062,6.994224217211793,80,sol_2014
2014-03-22,sol,47.6,47.6,0,2014,3,22,4.556090261792949,3.883623530906448,81,sol_2014
2014-03-23,sol,NA,919.3050000000001,1,2014,3,23,7.51676542615104,6.824705136841027,82,sol_2014
2014-03-24,sol,NA,1791.01,1,2014,3,24,8.183682244015035,7.491093173876449,83,sol_2014
2014-03-25,sol,2662.715,2662.715,0,2014,3,25,8.5802487737518085,7.887477043955317,84,sol_2014
2014-03-26,sol,NA,1972.895,1,2014,3,26,8.280404530946473,7.587764027089348,85,sol_2014
2014-03-27,sol,1283.0749999999998,1283.0749999999998,0,2014,3,27,7.850162152066416,7.157793893758991,86,sol_2014
2014-03-28,sol,NA,1054.9475,1,2014,3,28,7.6543936868341005,6.962193747121239,87,sol_2014
2014-03-29,sol,826.82,826.82,0,2014,3,29,7.410734563415816,6.718795739447997,88,sol_2014
2014-03-30,sol,NA,551.2133333333334,1,2014,3,30,7.005269912424575,6.313934445045427,89,sol_2014
2014-03-31,sol,NA,275.6066666666667,1,2014,3,31,6.312125200285189,5.622596521133504,90,sol_2014
2014-04-01,sol,0,0,0,2014,4,1,0,0,91,sol_2014
2014-04-02,sol,NA,0,1,2014,4,2,0,0,92,sol_2014
2014-04-03,sol,0,0,0,2014,4,3,0,0,93,sol_2014
2014-04-04,sol,NA,237.555,1,2014,4,4,6.1635507862232055,5.474599891708923,94,sol_2014
2014-04-05,sol,475.11,475.11,0,2014,4,5,6.856694644250075,6.165648919970651,95,sol_2014
