date,site,mean_copy,mean_copy_fill,missing_data,year,month,day,ihs_data,log_data,yday,site_year
2013-01-28,spen,5302.924999999999,5302.924999999999,0,2013,1,28,9.269161023549252,8.576202391494231,28,spen_2013
2013-01-29,spen,NA,2983.2499999999995,1,2013,1,29,8.693915797900289,8.001103737975148,29,spen_2013
2013-01-30,spen,663.575,663.575,0,2013,1,30,7.190789632622633,6.499147738601476,30,spen_2013
2013-01-31,spen,NA,363.1275,1,2013,1,31,6.587903088746128,5.897504081030146,31,spen_2013
2013-02-01,spen,62.68,62.68,0,2013,2,1,4.831253224921328,4.1538705415361274,32,spen_2013
2013-02-02,spen,NA,72.55333333333333,1,2013,2,2,4.97751659330272,4.29801076666405,33,spen_2013
2013-02-03,spen,NA,82.42666666666666,1,2013,2,3,5.105092984017357,4.423968002462053,34,spen_2013
2013-02-04,spen,92.3,92.3,0,2013,2,4,5.218220665945563,4.535820107853298,35,spen_2013
2013-02-05,spen,NA,2394.525,1,2013,2,5,8.474087384482612,7.7813576925033265,36,spen_2013
2013-02-06,spen,4696.75,4696.75,0,2013,2,6,9.147773251040359,8.454838949669261,37,spen_2013
2013-02-07,spen,NA,2826.715,1,2013,2,7,8.640017750876067,7.94722424400309,38,spen_2013
2013-02-08,spen,956.6800000000001,956.6800000000001,0,2013,2,8,7.556616410983903,6.864513692943114,39,spen_2013
2013-02-09,spen,NA,785.2350000000001,1,2013,2,9,7.359130622052432,6.6672557299312345,40,spen_2013
2013-02-10,spen,NA,613.7900000000001,1,2013,2,10,7.112800694251283,6.421280746079978,41,spen_2013
2013-02-11,spen,442.345,442.345,0,2013,2,11,6.785238578823617,6.094348247990909,42,spen_2013
2013-02-12,spen,NA,324.485,1,2013,2,12,6.475388865048658,5.785316377637463,43,spen_2013
2013-02-13,spen,206.625,206.625,0,2013,2,13,6.024058592288443,5.335733567933459,44,spen_2013
2013-02-14,spen,NA,325.505,1,2013,2,14,6.478527362590872,5.78844526253491,45,spen_2013
2013-02-15,spen,444.385,444.385,0,2013,2,15,6.789839750341644,6.098939076662989,46,spen_2013
2013-02-16,spen,NA,534.435,1,2013,2,16,6.974358169935057,6.283079500634338,47,spen_2013
2013-02-17,spen,NA,624.4849999999999,1,2013,2,17,7.130075131677148,6.438527348804073,48,spen_2013
2013-02-18,spen,NA,714.535,1,2013,2,18,7.264779651692335,6.573030514641485,49,spen_2013
2013-02-19,spen,804.5849999999999,804.5849999999999,0,2013,2,19,7.383474183283414,6.691568721568641,50,spen_2013
2013-02-20,spen,NA,531.0799999999999,1,2013,2,20,6.96806073596681,6.276793853976166,51,spen_2013
2013-02-21,spen,257.575,257.575,0,2013,2,21,6.244461888558034,5.555185787263867,52,spen_2013
2013-02-22,spen,NA,238.05374999999998,1,2013,2,22,6.165648080577559,5.4766884220438214,53,spen_2013
2013-02-23,spen,NA,218.5325,1,2013,2,23,6.080087160306923,5.391500285336187,54,spen_2013
2013-02-24,spen,NA,199.01125000000002,1,2013,2,24,5.986514848548254,5.2983736149660645,55,spen_2013
2013-02-25,spen,179.49,179.49,0,2013,2,25,5.883274436499867,5.195675374576157,56,spen_2013
2013-02-26,spen,NA,131.47,1,2013,2,26,5.571940332897032,4.88635620469617,57,spen_2013
2013-02-27,spen,83.45,83.45,0,2013,2,27,5.117430728146077,4.436159643253809,58,spen_2013
2013-02-28,spen,NA,5573.705,1,2013,2,28,9.318962470957281,8.625994680130075,59,spen_2013
2013-03-01,spen,11063.960000000001,11063.960000000001,0,2013,3,1,10.004595440611306,9.311538637476357,60,spen_2013
2013-03-02,spen,NA,7375.973333333334,1,2013,3,2,9.599130335056012,8.906118716038856,61,spen_2013
2013-03-03,spen,NA,3687.9866666666676,1,2013,3,3,8.905983168281569,8.213107083241178,62,spen_2013
2013-03-04,spen,0,0,0,2013,3,4,0,0,63,spen_2013
2013-03-05,spen,NA,85.795,1,2013,3,5,5.14514187234989,4.4635490163205125,64,spen_2013
2013-03-06,spen,171.59,171.59,0,2013,3,6,5.838263581694967,5.150918839543312,65,spen_2013
2013-03-07,spen,NA,166.34249999999997,1,2013,3,7,5.807205131335242,5.120042610399696,66,spen_2013
2013-03-08,spen,161.09499999999997,161.09499999999997,0,2013,3,8,5.775151066816583,5.0881825831085985,67,spen_2013
2013-03-09,spen,NA,168.78166666666664,1,2013,3,9,5.821761922768737,5.134513297887076,68,spen_2013
2013-03-10,spen,NA,176.46833333333333,1,2013,3,10,5.866296654180827,5.178792189243759,69,spen_2013
2013-03-11,spen,184.155,184.155,0,2013,3,11,5.90893234656975,5.221193312125965,70,spen_2013
2013-03-12,spen,NA,190.35000000000002,1,2013,3,12,5.942018563081202,5.254104211871711,71,spen_2013
2013-03-13,spen,196.54500000000002,196.54500000000002,0,2013,3,13,5.974045064886486,5.285966406489006,72,spen_2013
2013-03-14,spen,NA,149.395,1,2013,3,14,5.699752186594213,5.013265166282272,73,spen_2013
2013-03-15,spen,102.245,102.245,0,2013,3,15,5.320542987873556,4.6371048045184375,74,spen_2013
2013-03-16,spen,NA,68.16333333333334,1,2013,3,16,4.915107769030443,4.23647085707025,75,spen_2013
2013-03-17,spen,NA,34.08166666666668,1,2013,3,17,4.222121944208908,3.5576786768276962,76,spen_2013
2013-03-18,spen,0,0,0,2013,3,18,0,0,77,spen_2013
2013-03-19,spen,NA,1163.9825,1,2013,3,19,7.752749958895555,7.06046134442775,78,spen_2013
2013-03-20,spen,2327.965,2327.965,0,2013,3,20,8.445897001064381,7.753179241862447,79,spen_2013
2013-03-21,spen,NA,1232.2425,1,2013,3,21,7.809738304344259,7.117402158603363,80,spen_2013
2013-03-22,spen,136.51999999999998,136.51999999999998,0,2013,3,22,5.609631717993373,4.923769361074593,81,spen_2013
2013-03-23,spen,NA,268.4583333333333,1,2013,3,23,6.285846368188255,5.596413771098647,82,spen_2013
2013-03-24,spen,NA,400.39666666666665,1,2013,3,24,6.68560446236003,5.994950132059363,83,spen_2013
2013-03-25,spen,532.335,532.335,0,2013,3,25,6.970421053177079,6.27914974455488,84,spen_2013
2013-03-26,spen,NA,328.285,1,2013,3,26,6.487031633830468,5.796923637175686,85,spen_2013
2013-03-27,spen,124.235,124.235,0,2013,3,27,5.515338311161899,4.830191972314074,86,spen_2013
2013-03-28,spen,NA,535.685,1,2013,3,28,6.976694353513367,6.285411330217592,87,spen_2013
2013-03-29,spen,947.135,947.135,0,2013,3,29,7.546589097710768,6.854496897179675,88,spen_2013
2013-03-30,spen,NA,1019.7533333333333,1,2013,3,30,7.620463467935668,6.928296195767053,89,spen_2013
2013-03-31,spen,NA,1092.3716666666667,1,2013,3,31,7.6892538425550665,6.997021473071068,90,spen_2013
2013-04-01,spen,1164.99,1164.99,0,2013,4,1,7.753615147034408,7.06132579054433,91,spen_2013
2013-04-02,spen,NA,621.2725,1,2013,4,2,7.124917622320907,6.433378099694017,92,spen_2013
2013-04-03,spen,77.555,77.555,0,2013,4,3,5.044176104339152,4.363799016399561,93,spen_2013
2013-04-04,spen,NA,283.42499999999995,1,2013,4,4,6.340097830621846,5.65046959842578,94,spen_2013
2013-04-05,spen,489.29499999999996,489.29499999999996,0,2013,4,5,6.8861138043569285,6.195007250767131,95,spen_2013
2013-04-06,spen,NA,415.4375,1,2013,4,6,6.722480810892342,6.031736390322756,96,spen_2013
2013-04-07,spen,NA,341.58,1,2013,4,7,6.52673123541337,5.836505207069838,97,spen_2013
2013-04-08,spen,NA,267.72249999999997,1,2013,4,8,6.283101664795102,5.593679248624857,98,spen_2013
2013-04-09,spen,193.865,193.865,0,2013,4,9,5.960315872864695,5.272307011115806,99,spen_2013
2013-04-10,spen,NA,273.45500000000004,1,2013,4,10,6.304287598292721,5.614787313084639,100,spen_2013
2013-04-11,spen,353.045,353.045,0,2013,4,11,6.559744713880236,5.869424023698952,101,spen_2013
2013-04-12,spen,NA,282.43600000000004,1,2013,4,12,6.336602290799697,5.646986348123456,102,spen_2013
2013-04-13,spen,NA,211.827,1,2013,4,13,6.048922655876762,5.360479629118189,103,spen_2013
2013-04-14,spen,NA,141.21800000000002,1,2013,4,14,5.643464512038512,4.957361091636761,104,spen_2013
2013-04-15,spen,NA,70.60899999999998,1,2013,4,15,4.950354936022054,4.271220764391249,105,spen_2013
2013-04-16,spen,0,0,0,2013,4,16,0,0,106,spen_2013
2013-04-17,spen,NA,114.4825,1,2013,4,17,5.433588227778886,4.749119003330753,107,spen_2013
2013-04-18,spen,228.965,228.965,0,2013,4,18,6.1267211026909765,5.437927123430527,108,spen_2013
2013-04-19,spen,NA,410.314,1,2013,4,19,6.710071385731899,6.019356913071867,109,spen_2013
2013-04-20,spen,NA,591.663,1,2013,4,20,7.076085110751156,6.3846259406599435,110,spen_2013
2013-04-21,spen,NA,773.0120000000001,1,2013,4,21,7.3434421713360845,6.651587377345512,111,spen_2013
2013-04-22,spen,NA,954.3610000000001,1,2013,4,22,7.55418946162144,6.8620892795239765,112,spen_2013
2013-04-23,spen,1135.71,1135.71,0,2013,4,23,7.728160659383837,7.035893404049939,113,spen_2013
2013-04-24,spen,NA,986.9766666666667,1,2013,4,24,7.587793835693062,6.895659080734846,114,spen_2013
2013-04-25,spen,NA,838.2433333333333,1,2013,4,25,7.424455968592581,6.7325006922281565,115,spen_2013
2013-04-26,spen,689.51,689.51,0,2013,4,26,7.229128906797308,6.537430455003713,116,spen_2013
2013-04-27,spen,NA,623.1483333333333,1,2013,4,27,7.127932410053832,6.4363880537952225,117,spen_2013
